日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20230831,1679,Ｓｉｍｐｌｅ－Ｘ　ＮＹ　ダウ・ジョーンズ・インデックス上場投信,ETF・ETN,-,-,-,-,-,-
20230831,1680,上場インデックスファンド海外先進国株式（ＭＳＣＩ－ＫＯＫＵＳＡＩ）,ETF・ETN,-,-,-,-,-,-
20230831,1681,上場インデックスファンド海外新興国株式（ＭＳＣＩ　エマージング）,ETF・ETN,-,-,-,-,-,-
20230831,1682,ＮＥＸＴ　ＦＵＮＤＳ　日経・ＪＰＸ白金指数連動型上場投信,ETF・ETN,-,-,-,-,-,-
20230831,1684,ＷｉｓｄｏｍＴｒｅｅ　ブロード上場投資信託,ETF・ETN,-,-,-,-,-,-
20230831,1685,ＷｉｓｄｏｍＴｒｅｅ　エネルギー上場投資信託,ETF・ETN,-,-,-,-,-,-
20230831,1686,ＷｉｓｄｏｍＴｒｅｅ　産業用金属上場投資信託,ETF・ETN,-,-,-,-,-,-
20230831,1687,ＷｉｓｄｏｍＴｒｅｅ　農産物上場投資信託,ETF・ETN,-,-,-,-,-,-
20230831,1688,ＷｉｓｄｏｍＴｒｅｅ　穀物上場投資信託,ETF・ETN,-,-,-,-,-,-
20230831,1689,ＷｉｓｄｏｍＴｒｅｅ　天然ガス上場投資信託,ETF・ETN,-,-,-,-,-,-
20230831,1690,ＷｉｓｄｏｍＴｒｅｅ　ＷＴＩ　原油上場投資信託,ETF・ETN,-,-,-,-,-,-
20230831,1691,ＷｉｓｄｏｍＴｒｅｅ　ガソリン上場投資信託,ETF・ETN,-,-,-,-,-,-
20230831,1692,ＷｉｓｄｏｍＴｒｅｅ　アルミニウム上場投資信託,ETF・ETN,-,-,-,-,-,-
20230831,1693,ＷｉｓｄｏｍＴｒｅｅ　銅上場投資信託,ETF・ETN,-,-,-,-,-,-
20230831,1694,ＷｉｓｄｏｍＴｒｅｅ　ニッケル上場投資信託,ETF・ETN,-,-,-,-,-,-
20230831,1695,ＷｉｓｄｏｍＴｒｅｅ　小麦上場投資信託,ETF・ETN,-,-,-,-,-,-
20230831,1696,ＷｉｓｄｏｍＴｒｅｅ　とうもろこし上場投資信託,ETF・ETN,-,-,-,-,-,-
20230831,1697,ＷｉｓｄｏｍＴｒｅｅ　大豆上場投資信託,ETF・ETN,-,-,-,-,-,-
20230831,1698,上場インデックスファンド日本高配当（東証配当フォーカス１００）,ETF・ETN,-,-,-,-,-,-
20230831,1699,ＮＥＸＴ　ＦＵＮＤＳ　ＮＯＭＵＲＡ　原油インデックス連動型上場投信,ETF・ETN,-,-,-,-,-,-
20230831,1711,ＳＤＳホールディングス,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-
20230831,1712,ダイセキ環境ソリューション,プライム（内国株式）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2
20230831,1716,第一カッター興業,プライム（内国株式）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2
20230831,1717,明豊ファシリティワークス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他 ,7,TOPIX Small 2
20230831,1718,美樹工業,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-
20230831,1719,安藤・間,プライム（内国株式）,2050,建設業,3,建設・資材 ,6,TOPIX Small 1
20230831,1720,東急建設,プライム（内国株式）,2050,建設業,3,建設・資材 ,6,TOPIX Small 1
20230831,1721,コムシスホールディングス,プライム（内国株式）,2050,建設業,3,建設・資材 ,4,TOPIX Mid400
20230831,1723,日本電技,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-
20230831,1724,シンクレイヤ,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-
20230831,1726,ビーアールホールディングス,プライム（内国株式）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2
20230831,1730,麻生フオームクリート,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-
20230831,1736,オーテック,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-
20230831,1739,メルディアＤＣ,グロース（内国株式）,2050,建設業,3,建設・資材 ,-,-
20230831,1743,コーアツ工業,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-
20230831,1757,創建エース,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-
20230831,1758,太洋基礎工業,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-
20230831,1762,高松コンストラクショングループ,プライム（内国株式）,2050,建設業,3,建設・資材 ,6,TOPIX Small 1
20230831,1764,工藤建設,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-
20230831,1766,東建コーポレーション,プライム（内国株式）,2050,建設業,3,建設・資材 ,6,TOPIX Small 1
20230831,1768,ソネック,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2
20230831,1770,藤田エンジニアリング,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-
20230831,1773,ワイ・ティー・エル・コーポレーション・バーハッド,プライム（外国株式）,2050,建設業,3,建設・資材 ,-,-
20230831,1775,富士古河Ｅ＆Ｃ,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-
20230831,1776,三井住建道路,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-
20230831,1780,ヤマウラ,プライム（内国株式）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2
20230831,1783,アジアゲートホールディングス,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-
20230831,1786,オリエンタル白石,プライム（内国株式）,2050,建設業,3,建設・資材 ,6,TOPIX Small 1
20230831,1787,ナカボーテック,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-
20230831,1788,三東工業社,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-
20230831,1789,ＥＴＳホールディングス,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-
20230831,1793,大本組,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-
20230831,1795,マサル,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-
20230831,1798,守谷商会,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-
20230831,1799,第一建設工業,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-
20230831,1801,大成建設,プライム（内国株式）,2050,建設業,3,建設・資材 ,4,TOPIX Mid400
20230831,1802,大林組,プライム（内国株式）,2050,建設業,3,建設・資材 ,4,TOPIX Mid400
20230831,1803,清水建設,プライム（内国株式）,2050,建設業,3,建設・資材 ,4,TOPIX Mid400
20230831,1805,飛島建設,プライム（内国株式）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2
20230831,1807,佐藤渡辺,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-
20230831,1808,長谷工コーポレーション,プライム（内国株式）,2050,建設業,3,建設・資材 ,4,TOPIX Mid400
20230831,1810,松井建設,プライム（内国株式）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2
20230831,1811,錢高組,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2
20230831,1812,鹿島建設,プライム（内国株式）,2050,建設業,3,建設・資材 ,4,TOPIX Mid400
20230831,1813,不動テトラ,プライム（内国株式）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2
20230831,1814,大末建設,プライム（内国株式）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2
20230831,1815,鉄建建設,プライム（内国株式）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2
20230831,1820,西松建設,プライム（内国株式）,2050,建設業,3,建設・資材 ,4,TOPIX Mid400
20230831,1821,三井住友建設,プライム（内国株式）,2050,建設業,3,建設・資材 ,6,TOPIX Small 1
20230831,1822,大豊建設,プライム（内国株式）,2050,建設業,3,建設・資材 ,6,TOPIX Small 1
20230831,1826,佐田建設,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2
20230831,1827,ナカノフドー建設,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2
20230831,1828,田辺工業,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-
20230831,1833,奥村組,プライム（内国株式）,2050,建設業,3,建設・資材 ,6,TOPIX Small 1
20230831,1835,東鉄工業,プライム（内国株式）,2050,建設業,3,建設・資材 ,6,TOPIX Small 1
20230831,1840,土屋ホールディングス,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-
20230831,1841,サンユー建設,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-
20230831,1844,大盛工業,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-
20230831,1847,イチケン,プライム（内国株式）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2
